trial_type,trial_index,time_elapsed,internal_node_id,PIS,consent,participantAge,participantGender,participantHandedness,startTime,ageRT,genderRT,handednessRT,totalRT,stimulus,feedback,number,start_time,response_time,end_time,delta_response_time,button,button_label,correct,incorrect,distribution_mean,distribution_variance,distribution_std,distribution_name,spaceship_class,drop_location,boundary,distance_to_bound,confidence_response_time,delta_confidence_response_time,confidence,block,coins,sliderMove,sliderStartValue,feedback_strategy,feedback_technical,feedback_comments,PID,confidenceRT,binnedConfidence,flippedLocation,recentredFlipLocation,distanceBin,binnedLocation,rawLocation,stimulustype,distributiontype
jspsych-experimentscreen,95,616289,0.0-95.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blue1,NA,NA,608002.310000011,610949.0050000022,618385.66,2946.6949999914505,1,Zap,1,0,278,19600,140,wide,blue1,286,450,164,618385.320000001,7436.31499999901,99,1,0,63,36,NA,NA,NA,1,7436.31499999901,5,614,514,5,10,614,1,0
jspsych-experimentscreen,96,626363,0.0-96.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blue1,NA,NA,618392.920000013,620641.3450000109,628459.28000001,2248.424999997951,1,Zap,1,0,278,19600,140,wide,blue1,306,450,144,628458.935000002,7817.58999999147,98,1,0,34,64,NA,NA,NA,1,7817.58999999147,5,594,494,5,10,594,1,0
jspsych-experimentscreen,97,632485,0.0-97.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blue1,NA,NA,628472.670000017,630583.2950000186,634581.350000022,2110.625000001164,1,Zap,1,0,278,19600,140,wide,blue1,302,450,148,634580.985000008,3997.68999998923,98,1,0,39,59,NA,NA,NA,1,3997.68999998923,5,598,498,5,10,598,1,0
jspsych-experimentscreen,98,639326,0.0-98.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,orange1,NA,NA,634588.640000002,637389.8000000045,641422.515000013,2801.16000000271,0,Retrieve,1,0,578,6400,80,narrow,orange1,531,450,81,641422.160000016,4032.36000001198,67,1,3,39,28,NA,NA,NA,1,4032.36000001198,3,369,269,3,4,369,0,1
jspsych-experimentscreen,99,645987,0.0-99.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,orange1,NA,NA,641429.230000009,644046.6750000196,648083.855000004,2617.4450000107754,1,Zap,0,1,578,6400,80,narrow,orange1,448,450,2,648083.460000023,4036.78500000387,81,1,0,16,65,NA,NA,NA,1,4036.78500000387,4,452,352,1,6,452,0,1
jspsych-experimentscreen,100,652104,0.0-100.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blue1,NA,NA,648099.390000018,650376.425000024,654201.085000008,2277.0350000064354,1,Zap,1,0,278,19600,140,wide,blue1,358,450,92,654200.650000013,3824.22499998938,99,1,0,70,29,NA,NA,NA,1,3824.22499998938,5,542,442,3,8,542,1,0
jspsych-experimentscreen,101,657963,0.0-101.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blue1,NA,NA,654207.844999997,656239.900000015,660059.985,2032.0550000178628,1,Zap,1,0,278,19600,140,wide,blue1,256,450,194,660059.690000024,3819.79000000865,97,1,0,53,44,NA,NA,NA,1,3819.79000000865,4,644,544,6,11,644,1,0
jspsych-experimentscreen,102,663738,0.0-102.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blue1,NA,NA,660066.970000014,662173.0950000056,665834.540000011,2106.1249999911524,1,Zap,1,0,278,19600,140,wide,blue1,277,450,173,665834.260000003,3661.16499999771,99,1,0,45,54,NA,NA,NA,1,3661.16499999771,5,623,523,5,10,623,1,0
jspsych-experimentscreen,103,669742,0.0-103.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blue1,NA,NA,665851.055000006,667802.4100000039,671838.790000009,1951.3549999974202,1,Zap,1,0,278,19600,140,wide,blue1,337,450,113,671838.455000019,4036.04500001529,100,1,0,-92,8,NA,NA,NA,1,4036.04500001529,5,563,463,4,9,563,1,0
jspsych-experimentscreen,104,675482,0.0-104.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,orange1,NA,NA,671850.505000009,673946.9050000189,677578.565000003,2096.400000009453,0,Retrieve,1,0,578,6400,80,narrow,orange1,580,450,130,677578.210000007,3631.30499998806,80,1,3,6,86,NA,NA,NA,1,3631.30499998806,3,320,220,4,3,320,0,1
